regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr1_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr12_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr13_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr14_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr15_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr16_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr17_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr18_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr19_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr20_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr21_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr22_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
